economy,CountryCode,GdpPerCapita,WorldRegion
"Sao Tome and Principe",STP,5511.88,Africa
"Saudi Arabia",SAU,63194.43,Asia
Senegal,SEN,4477.82,Africa
Serbia,SRB,26900.74,Europe
Seychelles,SYC,29288.02,Africa
"Sierra Leone",SLE,3098.76,Africa
Singapore,SGP,134548.77,Asia
"Sint Maarten (Dutch part)",SXM,47303.20,"North America"
Slovakia,SVK,40302.45,Europe
Slovenia,SVN,48658.03,Europe
"Solomon Islands",SLB,2353.55,Oceania
Somalia,SOM,1409.34,Africa
"South Africa",ZAF,13597.65,Africa
"South Asia (WB)",WB_SA,9307.07,
"South Korea",KOR,55070.94,Asia
Spain,ESP,48460.29,Europe
"Sri Lanka",LKA,13793.07,Asia
"Sub-Saharan Africa (WB)",WB_SSA,4872.92,
Sudan,SDN,1861.40,Africa
Suriname,SUR,19179.10,"South America"
Sweden,SWE,62558.41,Europe
Switzerland,CHE,85448.06,Europe
Tajikistan,TJK,4755.93,Asia
Tanzania,TZA,3713.26,Africa
Thailand,THA,21882.22,Asia
Togo,TGO,3351.25,Africa
Tonga,TON,7180.99,Oceania
"Trinidad and Tobago",TTO,31960.16,"North America"
Tunisia,TUN,12774.92,Africa
Turkey,TUR,36154.49,Asia
Turkmenistan,TKM,18470.74,Asia
"Turks and Caicos Islands",TCA,33390.53,"North America"
Tuvalu,TUV,5592.19,Oceania
Uganda,UGA,2879.67,Africa
Ukraine,UKR,16371.44,Europe
"United Arab Emirates",ARE,69701.79,Asia
"United Kingdom",GBR,53412.07,Europe
"United States",USA,75698.18,"North America"
"Upper-middle-income countries",OWID_UMC,20967.36,
Uruguay,URY,32149.48,"South America"
Uzbekistan,UZB,10997.17,Asia
Vanuatu,VUT,3837.04,Oceania
Vietnam,VNM,14396.42,Asia
World,OWID_WRL,21393.18,
Zambia,ZMB,3708.07,Africa
Zimbabwe,ZWE,5211.90,Africa
